Date,Open,High,Low,Close,Adj Close,Volume
"Jun 14, 2016",6045,6045,5921.7,5923.5,5923.5,954027400
"Jun 13, 2016",6115.8,6115.8,6045,6045,6045,827452100
"Jun 10, 2016",6231.9,6231.9,6097.2,6115.8,6115.8,725887400
"Jun 09, 2016",6301.5,6301.7,6229.1,6231.9,6231.9,668485600
"Jun 08, 2016",6284.5,6304.5,6263.8,6301.5,6301.5,643216300
"Jun 07, 2016",6273.4,6322.6,6273.4,6284.5,6284.5,690004500
"Jun 06, 2016",6209.6,6301.6,6209.6,6273.4,6273.4,732583800
"Jun 03, 2016",6185.6,6251.7,6168.2,6209.6,6209.6,640902800
"Jun 02, 2016",6191.9,6220.3,6173.1,6185.6,6185.6,892214700
"Jun 01, 2016",6230.8,6233.2,6151.9,6191.9,6191.9,887239300
"May 31, 2016",6270.8,6290.1,6230.1,6230.8,6230.8,1329032900
"May 27, 2016",6265.7,6275.9,6250.3,6270.8,6270.8,559788200
"May 26, 2016",6262.9,6281.7,6243.5,6265.7,6265.7,665573200
"May 25, 2016",6219.3,6270.3,6219.3,6262.9,6262.9,870436700
"May 24, 2016",6136.4,6231.9,6109.6,6219.3,6219.3,833810600
"May 23, 2016",6156.3,6173.1,6122.6,6136.4,6136.4,653011400
"May 20, 2016",6053.4,6156.5,6053.4,6156.3,6156.3,780582600
"May 19, 2016",6165.8,6165.8,6050.2,6053.4,6053.4,936494700
"May 18, 2016",6167.8,6169.3,6116,6165.8,6165.8,887529400
"May 17, 2016",6151.4,6215.9,6147.2,6167.8,6167.8,758810700
"May 16, 2016",6138.5,6157.2,6092.2,6151.4,6151.4,445329500
"May 13, 2016",6104.2,6138.5,6060.1,6138.5,6138.5,646363000
"May 12, 2016",6162.5,6193.2,6094.1,6104.2,6104.2,698762400
"May 11, 2016",6156.7,6172.7,6131.2,6162.5,6162.5,573062300
"May 10, 2016",6114.8,6180.2,6114.8,6156.7,6156.7,652991800
"May 09, 2016",6125.7,6177.6,6108.4,6114.8,6114.8,669494900
"May 06, 2016",6117.3,6129.9,6054.7,6125.7,6125.7,698735000
"May 05, 2016",6112,6152.6,6102.3,6117.3,6117.3,713231200
"May 04, 2016",6185.6,6185.6,6100.8,6112,6112,775563200
"May 03, 2016",6241.9,6270,6159.9,6185.6,6185.6,869478400
"Apr 29, 2016",6322.4,6322.4,6241.9,6241.9,6241.9,865553800
"Apr 28, 2016",6319.9,6322.4,6224.5,6322.4,6322.4,861757000
"Apr 27, 2016",6284.5,6319.9,6255.2,6319.9,6319.9,822361600
"Apr 26, 2016",6260.9,6297.9,6260.9,6284.5,6284.5,776825800
"Apr 25, 2016",6310.4,6324.6,6249.3,6260.9,6260.9,688678400
"Apr 22, 2016",6381.4,6381.6,6289.3,6310.4,6310.4,675930800
"Apr 21, 2016",6410.3,6427.3,6352.9,6381.4,6381.4,831612200
"Apr 20, 2016",6405.4,6421.9,6367.4,6410.3,6410.3,814753100
"Apr 19, 2016",6353.5,6418.3,6353.5,6405.4,6405.4,808478400
"Apr 18, 2016",6343.8,6354.9,6261.7,6353.5,6353.5,594992600
"Apr 15, 2016",6365.1,6372.5,6328.2,6343.8,6343.8,780841700
"Apr 14, 2016",6362.9,6373.9,6335.4,6365.1,6365.1,853106400
"Apr 13, 2016",6242.4,6362.9,6242.4,6362.9,6362.9,957136100
"Apr 12, 2016",6200.1,6248.3,6176.3,6242.4,6242.4,690137700
"Apr 11, 2016",6204.4,6229.7,6165.5,6200.1,6200.1,552586500
"Apr 08, 2016",6136.9,6216.3,6136.9,6204.4,6204.4,622127800
"Apr 07, 2016",6161.6,6204.1,6119.4,6136.9,6136.9,761729900
"Apr 06, 2016",6091.2,6161.6,6091.2,6161.6,6161.6,738661300
"Apr 05, 2016",6164.7,6164.7,6061.9,6091.2,6091.2,826023000
"Apr 04, 2016",6146.1,6202,6132.9,6164.7,6164.7,546684700
"Apr 01, 2016",6174.9,6174.9,6076.9,6146.1,6146.1,747479000
"Mar 31, 2016",6203.2,6203.4,6149.8,6174.9,6174.9,746399600
"Mar 30, 2016",6105.9,6221.8,6105.9,6203.2,6203.2,803811000
"Mar 29, 2016",6106.5,6156.7,6070.8,6105.9,6105.9,596325500
"Mar 24, 2016",6199.1,6199.1,6090,6106.5,6106.5,625282200
"Mar 23, 2016",6192.7,6216.8,6171.1,6199.1,6199.1,621495500
"Mar 22, 2016",6184.6,6193.5,6110.4,6192.7,6192.7,738984400
"Mar 21, 2016",6189.6,6215.3,6154.1,6184.6,6184.6,532073700
"Mar 18, 2016",6201.1,6237,6186.2,6189.6,6189.6,1129194800
"Mar 17, 2016",6175.5,6220,6125.7,6201.1,6201.1,832614900
"Mar 16, 2016",6140,6186.2,6134.3,6175.5,6175.5,700761300
"Mar 15, 2016",6174.6,6174.6,6114.8,6140,6140,700313300
"Mar 14, 2016",6139.8,6197.8,6139.8,6174.6,6174.6,688585100
"Mar 11, 2016",6036.7,6150.9,6036.7,6139.8,6139.8,721703700
"Mar 10, 2016",6146.3,6203.4,6036.7,6036.7,6036.7,1056246900
"Mar 09, 2016",6125.4,6174.8,6118.2,6146.3,6146.3,758331300
"Mar 08, 2016",6182.4,6182.5,6101.9,6125.4,6125.4,913517000
"Mar 07, 2016",6199.4,6216.1,6125.6,6182.4,6182.4,817955900
